FactSales[TransactionID];FactSales[SellerID];FactSales[CustomerID];FactSales[Invoice];FactSales[SKUID];FactSales[Quantity];FactSales[UnitaryPrice];FactSales[TaxRate];FactSales[invoice_Hora];FactSales[Invoice_Min]
20511;127;468;62466;555;1;13;15;19;0
21295;127;468;62795;548;1;13;15;13;22
23843;127;468;63799;545;1;13;15;20;25
26099;127;468;64629;555;1;13;15;23;17
28469;127;468;65576;536;1;13;15;22;57
32121;127;468;66965;586;1;13;15;11;30
37325;127;468;68988;543;1;13;15;22;57
39233;127;468;69724;602;1;13;15;18;23
40962;127;468;70347;570;1;13;15;18;59
41591;127;468;70601;611;1;13;15;10;38
42257;127;468;70831;539;1;13;15;22;29
42623;127;468;70979;583;1;13;15;12;55
43077;127;468;71158;604;1;13;15;18;8
47250;127;468;72767;606;1;13;15;16;39
47767;127;468;72968;547;1;13;15;16;33
47772;127;468;72968;601;1;13;15;16;33
54254;127;468;75554;595;1;13;15;9;31
59825;127;468;77663;601;1;13;15;16;52
63102;127;468;78953;617;1;13;15;9;32
66268;127;468;80237;617;1;13;15;11;33
67593;127;468;80731;606;1;13;15;10;39
75853;127;468;83986;573;1;13;15;22;27
77174;127;468;84511;554;1;13;15;13;40
77872;127;468;84764;614;1;13;15;13;18
78554;127;468;85041;554;1;13;15;13;47
83625;127;468;87054;547;1;13;15;17;44
84052;127;468;87219;536;1;13;15;16;47
99606;127;468;93426;611;1;13;15;12;22
99932;127;468;93560;547;1;13;15;15;14
103881;127;468;95094;613;1;13;15;16;57
104034;127;468;95164;547;1;13;15;21;44
115247;127;468;99548;557;1;13;15;15;2
115545;127;468;99658;568;1;13;15;10;14
116088;127;468;99858;543;1;13;15;17;19
116300;127;468;99945;606;1;13;15;22;18
116304;127;468;99945;554;1;13;15;22;18
118305;127;468;100703;595;1;13;15;22;59
118308;127;468;100703;560;1;13;15;22;59
118312;127;468;100703;588;1;13;15;22;59
119062;127;468;101000;560;1;13;15;21;2
119310;127;468;101102;598;1;13;15;21;6
119318;127;468;101102;601;1;13;15;21;6
119932;127;468;101321;539;1;13;15;10;9
120735;127;468;101652;541;1;13;15;10;53
120738;127;468;101652;617;1;13;15;10;53
120741;127;468;101652;566;1;13;15;10;53
120742;127;468;101652;553;1;13;15;10;53
120744;127;468;101652;603;1;13;15;10;53
121518;127;468;101948;580;1;13;15;20;51
122476;127;468;102297;613;1;13;15;17;34
122479;127;468;102297;603;1;13;15;17;34
124638;127;468;103191;572;1;13;15;19;5
124985;127;468;103307;595;1;13;15;18;57
124986;127;468;103307;572;1;13;15;18;57
125634;127;468;103570;560;1;13;15;10;50
127818;127;468;104396;560;1;13;15;16;58
128027;127;468;104492;589;1;13;15;22;2
128365;127;468;104615;617;1;13;15;12;2
128367;127;468;104615;573;1;13;15;12;2
129375;127;468;104977;541;1;13;15;18;15
130356;127;468;105371;545;1;13;15;9;4
130358;127;468;105371;613;1;13;15;9;4
130361;127;468;105371;616;1;13;15;9;4
131499;127;468;105823;606;1;13;15;9;16
131502;127;468;105823;601;1;13;15;9;16
132146;127;468;106073;549;1;13;15;11;4
133489;127;468;106587;617;1;13;15;23;16
133865;127;468;106756;598;1;13;15;22;20
135805;127;468;107500;589;1;13;15;19;50
136067;127;468;107617;560;1;13;15;11;2
136223;127;468;107682;588;1;13;15;17;35
136225;127;468;107682;611;1;13;15;17;35
136226;127;468;107682;617;1;13;15;17;35
137517;127;468;108200;555;1;13;15;17;25
137687;127;468;108281;545;1;13;15;18;56
138033;127;468;108420;603;1;13;15;17;9
138297;127;468;108524;606;1;13;15;12;43
138406;127;468;108566;576;1;13;15;15;59
138645;127;468;108667;583;1;13;15;16;56
139297;127;468;108931;586;1;13;15;12;19
139586;127;468;109054;617;1;13;15;12;27
141199;127;468;109658;559;1;13;15;11;37
141448;127;468;109761;563;1;13;15;18;7
141684;127;468;109870;608;1;13;15;15;1
142466;127;468;110208;541;1;13;15;12;24
142699;127;468;110305;555;1;13;15;16;26
143527;127;468;110620;589;1;13;15;9;22
144010;127;468;110814;603;1;13;15;22;6
144868;127;468;111113;536;1;13;15;18;35
145306;127;468;111282;555;1;13;15;11;38
146529;127;468;111764;573;1;13;15;20;32
147178;127;468;112013;554;1;13;15;16;44
147681;127;468;112201;553;1;13;15;18;9
148211;127;468;112427;614;1;13;15;21;49
148475;127;468;112535;549;1;13;15;18;4
149446;127;468;112889;554;1;13;15;13;4
150427;127;468;113289;549;1;13;15;23;27
150428;127;468;113289;547;1;13;15;23;27
150433;127;468;113289;539;1;13;15;23;27
150438;127;468;113289;548;1;13;15;23;27
151607;127;468;113758;554;1;13;15;20;12
152784;127;468;114210;601;1;13;15;19;16
153196;127;468;114393;580;1;13;15;12;54
153584;127;468;114571;547;1;13;15;18;2
153585;127;468;114571;613;1;13;15;18;2
154072;127;468;114756;566;1;13;15;15;6
154076;127;468;114756;536;1;13;15;15;6
154078;127;468;114756;566;1;13;15;15;6
155063;127;468;115165;613;1;13;15;20;15
155767;127;468;115434;570;1;13;15;14;10
21984;127;472;63065;553;1;13;15;12;48
29814;127;472;66095;613;1;13;15;10;1
54264;127;472;75556;604;1;13;15;17;8
58379;127;472;77081;580;1;13;15;15;27
60122;127;472;77785;552;1;13;15;18;33
64263;127;472;79442;549;1;13;15;21;29
65970;127;472;80115;536;1;13;15;22;1
66140;127;472;80187;603;1;13;15;18;38
67697;127;472;80775;604;1;13;15;9;44
67997;127;472;80910;547;1;13;15;16;41
70848;127;472;82040;586;1;13;15;10;32
84360;127;472;87345;557;1;13;15;18;45
89297;127;472;89289;592;1;13;15;9;4
106847;127;472;96277;595;1;13;15;11;4
108381;127;472;96828;549;1;13;15;20;51
113047;127;472;98693;578;1;13;15;13;33
114914;127;472;99425;559;1;13;15;15;22
117517;127;472;100406;548;1;13;15;19;42
117518;127;472;100406;547;1;13;15;19;42
117909;127;472;100565;578;1;13;15;17;53
117910;127;472;100565;553;1;13;15;17;53
119063;127;472;101001;536;1;13;15;19;16
119064;127;472;101001;547;1;13;15;19;16
121930;127;472;102102;578;1;13;15;16;28
122480;127;472;102299;566;1;13;15;11;40
122483;127;472;102299;563;1;13;15;11;40
122814;127;472;102429;614;1;13;15;15;32
124995;127;472;103309;604;1;13;15;11;13
124996;127;472;103309;553;1;13;15;11;13
125640;127;472;103571;614;1;13;15;16;46
125642;127;472;103571;613;1;13;15;16;46
127207;127;472;104165;536;1;13;15;9;47
127209;127;472;104165;604;1;13;15;9;47
127485;127;472;104276;576;1;13;15;21;50
128876;127;472;104793;589;1;13;15;12;10
129989;127;472;105227;580;1;13;15;23;43
130672;127;472;105499;552;1;13;15;9;40
130676;127;472;105499;553;1;13;15;9;40
130677;127;472;105499;611;1;13;15;9;40
131504;127;472;105824;613;1;13;15;11;43
134733;127;472;107087;549;1;13;15;22;44
134734;127;472;107087;598;1;13;15;22;44
135892;127;472;107534;536;1;13;15;22;16
136625;127;472;107833;559;1;13;15;21;5
136820;127;472;107921;601;1;13;15;22;15
136821;127;472;107921;603;1;13;15;22;15
137523;127;472;108202;604;1;13;15;23;34
138650;127;472;108669;547;1;13;15;17;24
139091;127;472;108849;589;1;13;15;13;55
139094;127;472;108849;586;1;13;15;13;55
139096;127;472;108849;566;1;13;15;13;55
140519;127;472;109395;583;1;13;15;9;48
141453;127;472;109762;586;1;13;15;18;28
150782;127;472;113437;566;1;13;15;13;8
153586;127;472;114572;566;1;13;15;18;48
153587;127;472;114572;576;1;13;15;18;48
154083;127;472;114757;566;1;13;15;23;56
154086;127;472;114757;614;1;13;15;23;56
154843;127;472;115068;552;1;13;15;15;27
155610;127;472;115365;547;1;13;15;20;38
155771;127;472;115436;557;1;13;15;20;14
155776;127;472;115436;608;1;13;15;20;14
20500;127;268;62464;557;1;13;15;15;50
